iter	Passed	Remaining
208	339	1286
209	340	1282
210	341	1278
211	342	1273
212	343	1269
213	344	1265
214	345	1261
215	346	1258
216	347	1254
217	348	1250
218	349	1246
219	350	1243
220	351	1239
221	352	1235
222	353	1232
223	354	1228
224	355	1224
225	356	1221
226	357	1217
227	358	1213
228	359	1209
229	360	1207
230	361	1204
231	362	1201
232	363	1197
233	364	1194
234	365	1190
235	366	1186
236	367	1182
237	368	1179
238	369	1177
239	370	1174
240	371	1170
241	372	1166
242	373	1162
243	374	1159
244	375	1155
245	376	1153
246	377	1149
247	378	1146
248	379	1143
249	379	1139
250	380	1136
251	381	1132
252	382	1129
253	383	1126
254	384	1122
255	385	1119
256	385	1115
257	386	1112
258	387	1108
259	388	1105
260	389	1102
261	390	1099
262	391	1096
263	392	1093
264	393	1090
265	393	1087
266	394	1083
267	395	1080
268	396	1077
269	397	1074
270	398	1071
271	399	1068
272	400	1065
273	400	1062
274	401	1059
275	402	1056
276	403	1053
277	404	1050
278	405	1047
279	406	1044
280	407	1041
281	408	1039
282	408	1036
283	409	1033
284	410	1030
285	411	1027
286	412	1024
287	413	1021
288	413	1018
289	414	1015
290	415	1012
291	416	1009
292	417	1006
293	418	1003
294	419	1001
295	420	999
296	421	996
297	421	994
298	422	991
299	423	988
300	424	985
301	425	983
302	426	980
303	427	977
304	428	975
305	428	972
306	429	970
307	430	967
308	431	964
309	432	962
310	433	959
311	434	957
312	435	955
313	436	952
314	436	950
315	437	947
316	438	945
317	439	942
318	440	940
319	441	937
320	442	935
321	442	932
322	443	930
323	444	927
324	445	925
325	446	922
326	447	920
327	448	918
328	449	916
329	450	914
330	451	912
331	452	910
332	453	907
333	454	905
334	455	903
335	456	901
336	457	899
337	458	897
338	459	895
339	459	892
340	460	890
341	461	888
342	462	886
343	463	884
344	464	882
345	465	880
346	466	878
347	467	876
348	468	874
349	469	872
350	470	869
351	471	867
352	472	865
353	473	863
354	473	861
355	474	858
356	475	856
357	476	855
358	478	854
359	479	852
360	480	850
361	481	848
362	482	846
363	483	844
364	483	842
365	484	839
366	485	837
367	486	835
368	487	833
369	488	831
370	489	829
371	490	827
372	490	825
373	491	823
374	493	822
375	494	820
376	494	817
377	495	815
378	496	813
379	497	811
380	498	809
381	499	807
382	500	806
383	501	803
384	502	801
385	502	799
386	503	798
387	504	796
388	505	794
389	506	792
390	508	791
391	508	789
392	509	787
393	510	785
394	511	783
395	512	781
396	513	779
397	514	777
398	515	776
399	516	774
400	516	772
401	517	770
402	518	768
403	519	766
404	520	764
405	521	763
406	522	761
407	523	759
408	524	758
409	525	756
410	526	754
411	527	752
412	528	750
413	529	749
414	530	747
415	530	745
416	531	743
417	532	741
418	533	739
419	534	737
420	537	738
421	538	737
422	539	735
423	539	733
424	540	731
425	541	730
426	542	728
427	543	726
428	544	724
429	545	722
430	546	721
431	547	719
432	547	717
433	548	715
434	549	713
435	550	712
436	552	711
437	553	709
438	554	708
439	554	706
440	555	704
441	556	702
442	557	700
443	558	699
444	559	697
445	559	695
446	560	693
447	561	691
448	562	690
449	563	688
450	564	686
451	565	685
452	566	684
453	567	682
454	568	681
455	569	679
456	570	677
457	571	676
458	572	674
459	572	672
460	573	670
461	574	669
462	575	667
463	576	665
464	578	665
465	579	663
466	580	662
467	581	661
468	582	659
469	583	658
470	584	656
471	585	654
472	586	653
473	587	651
474	587	649
475	588	648
476	589	646
477	590	644
478	591	643
479	592	641
480	593	640
481	595	639
482	596	638
483	597	636
484	598	635
485	598	633
486	599	631
487	600	630
488	601	628
489	602	626
490	603	625
491	604	623
492	605	622
493	606	621
494	607	619
495	608	617
496	609	616
497	610	615
498	611	613
499	612	612
500	613	610
501	614	609
502	614	607
503	615	606
504	616	604
505	617	602
506	618	601
507	619	599
508	620	598
509	621	596
510	621	595
511	622	593
512	623	592
513	624	590
514	625	589
515	626	587
516	627	586
517	628	584
518	629	582
519	629	581
520	630	579
521	631	578
522	632	576
523	633	575
524	634	573
525	635	572
526	636	570
527	636	569
528	638	568
529	638	566
530	639	565
531	640	563
532	641	562
533	642	560
534	643	559
535	644	557
536	645	556
537	646	554
538	646	553
539	647	551
540	648	550
541	649	548
542	650	547
543	651	545
544	652	544
545	653	543
546	654	541
547	655	540
548	655	538
549	656	537
550	657	535
551	658	534
552	659	533
553	660	531
554	661	530
555	662	528
556	663	527
557	663	525
558	664	524
559	665	522
560	666	521
561	667	520
562	668	518
563	669	517
564	670	516
565	671	514
566	671	513
567	672	511
568	673	510
569	674	509
570	675	507
571	676	506
572	677	504
573	678	503
574	679	502
575	680	500
576	681	499
577	682	498
578	683	496
579	684	495
580	685	494
581	686	492
582	686	491
583	687	489
584	688	488
585	689	487
586	690	485
587	691	484
588	692	482
589	692	481
590	693	480
591	694	478
592	695	477
593	696	476
594	697	474
595	698	473
596	699	472
597	700	470
598	700	469
599	701	467
600	702	466
601	703	465
602	704	463
603	705	462
604	705	460
605	706	459
606	707	458
607	708	456
608	709	455
609	709	453
610	711	452
611	712	451
612	713	450
613	714	448
614	715	447
615	716	446
616	716	445
617	717	443
618	718	442
619	719	441
620	720	439
621	721	438
622	722	437
623	723	435
624	723	434
625	724	433
626	725	431
627	726	430
628	727	429
629	728	427
630	729	426
631	730	425
632	731	424
633	732	422
634	733	421
635	734	420
636	734	418
637	735	417
638	736	416
639	737	414
640	738	413
641	739	412
642	740	411
643	741	410
644	742	408
645	743	407
646	744	406
647	745	405
648	746	403
649	747	402
650	748	401
651	749	400
652	750	398
653	751	397
654	752	396
655	753	394
656	755	394
657	756	393
658	757	391
659	757	390
660	758	389
661	759	387
662	760	386
663	761	385
664	762	384
665	763	382
666	764	381
667	764	380
668	765	378
669	766	377
670	767	376
671	768	375
672	769	373
673	770	372
674	771	371
675	772	370
676	773	368
677	774	367
678	775	366
679	775	365
680	776	363
681	777	362
682	778	361
683	779	360
684	780	358
685	780	357
686	781	356
687	782	354
688	783	353
689	784	352
690	785	351
691	786	350
692	787	348
693	788	347
694	789	346
695	790	345
696	791	343
697	791	342
698	792	341
699	793	340
700	794	338
701	795	337
702	796	336
703	796	335
704	798	333
705	799	332
706	800	331
707	801	330
708	802	329
709	802	327
710	803	326
711	804	325
712	805	324
713	806	322
714	806	321
715	807	320
716	808	319
717	809	317
718	810	316
719	811	315
720	812	314
721	813	313
722	814	311
723	815	310
724	816	309
725	817	308
726	817	307
727	818	305
728	819	304
729	820	303
730	821	302
731	822	301
732	823	299
733	823	298
734	824	297
735	825	296
736	826	294
737	841	298
738	842	297
739	843	296
740	844	295
741	845	293
742	846	292
743	846	291
744	847	290
745	848	288
746	849	287
747	850	286
748	851	285
749	852	284
750	853	282
751	854	281
752	855	280
753	856	279
754	857	278
755	858	277
756	859	276
757	860	274
758	861	273
759	862	272
760	863	271
761	864	269
762	865	268
763	866	267
764	866	266
765	867	265
766	868	263
767	869	262
768	870	261
769	871	260
770	872	259
771	873	257
772	874	256
773	875	255
774	876	254
775	876	253
776	877	251
777	878	250
778	879	249
779	880	248
780	881	247
781	882	245
782	882	244
783	883	243
784	884	242
785	885	241
786	886	239
787	887	238
788	888	237
789	889	236
790	890	235
791	890	233
792	891	232
793	892	231
794	893	230
795	894	229
796	895	228
797	896	226
798	897	225
799	898	224
800	899	223
801	900	222
802	901	221
803	902	219
804	903	218
805	904	217
806	905	216
807	905	215
808	906	214
809	907	212
810	908	211
811	909	210
812	910	209
813	911	208
814	912	207
815	912	205
816	913	204
817	914	203
818	915	202
819	916	201
820	917	200
821	918	198
822	919	197
823	920	196
824	921	195
825	921	194
826	922	193
827	923	191
828	924	190
829	925	189
830	926	188
831	927	187
832	928	186
833	928	184
834	929	183
835	930	182
836	931	181
837	932	180
838	933	179
839	934	177
840	935	176
841	936	175
842	937	174
843	938	173
844	938	172
845	939	171
846	940	169
847	941	168
848	942	167
849	943	166
850	944	165
851	944	164
852	945	162
853	946	161
854	947	160
855	948	159
856	949	158
857	950	157
858	951	156
859	952	154
860	953	153
861	953	152
862	954	151
863	955	150
864	956	149
865	957	148
866	958	147
867	959	145
868	960	144
869	961	143
870	962	142
871	963	141
872	964	140
873	965	139
874	966	138
875	966	136
876	967	135
877	968	134
878	969	133
879	970	132
880	971	131
881	972	130
882	973	128
883	973	127
884	974	126
885	975	125
886	976	124
887	977	123
888	978	122
889	979	121
890	980	119
891	981	118
892	982	117
893	982	116
894	983	115
895	984	114
896	985	113
897	986	112
898	987	110
899	988	109
900	988	108
901	989	107
902	990	106
903	991	105
904	992	104
905	993	103
906	994	101
907	995	100
908	996	99
909	996	98
910	997	97
911	998	96
912	999	95
913	1000	94
914	1001	93
915	1002	91
916	1003	90
917	1003	89
918	1005	88
919	1006	87
920	1007	86
921	1008	85
922	1009	84
923	1010	83
924	1011	81
925	1011	80
926	1012	79
927	1013	78
928	1014	77
929	1015	76
930	1016	75
931	1017	74
932	1018	73
933	1019	72
934	1020	70
935	1022	69
936	1023	68
937	1024	67
938	1025	66
939	1026	65
940	1027	64
941	1028	63
942	1028	62
943	1030	61
944	1031	60
945	1032	58
946	1034	57
947	1035	56
948	1037	55
949	1038	54
950	1039	53
951	1040	52
952	1040	51
953	1041	50
954	1042	49
955	1044	48
956	1045	46
957	1046	45
958	1047	44
959	1050	43
960	1051	42
961	1052	41
962	1053	40
963	1054	39
964	1055	38
965	1056	37
966	1058	36
967	1059	35
968	1060	33
969	1061	32
970	1062	31
971	1064	30
972	1065	29
973	1066	28
974	1067	27
975	1068	26
976	1069	25
977	1071	24
978	1073	23
979	1074	21
980	1075	20
981	1076	19
982	1077	18
983	1079	17
984	1080	16
985	1081	15
986	1082	14
987	1083	13
988	1084	12
989	1085	10
990	1086	9
991	1087	8
992	1088	7
993	1089	6
994	1090	5
995	1092	4
996	1094	3
997	1094	2
998	1096	1
999	1097	0
